#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
72,TAULANY TV @UC6SPCnTAIanF2_8ST2wrQzw,6.4M,0.9%,Indonesia,Celebrity Music,1.9M
73,Calon Sarjana @UC-ASDT9n-sUPwA7uUPN0OoQ,6.3M,-,Indonesia,,1.9M
74,123 GO! Indonesian @UC43nz9qnZ7AIrbOlfxejTig,6.3M,-,Indonesia,,1.9M
75,MetroTV @UCzl0OrB3-ehunyotIQvK77A,6.3M,-,Indonesia,,1.9M
76,WAWAN MKS @UCXT5s05a6LQsP9q83W5hY_A,6.3M,-,Indonesia,,1.9M
77,Natasha Wilona @UCciyMo0ShVMAlYp3SWAaBcw,6.2M,-,Indonesia,,1.9M
78,BrandonKent Everything @brandonkenteverything,6.2M,0.1%,Indonesia,Video Gaming,1.9M
79,Fiki Naki @UCL3jS4gOZ-wJA7oeV8c7low,6.2M,-,Indonesia,,1.8M
80,Mikael Family @UC6SnUbITMvm6nfC7G1PPtUA,6.1M,-,Indonesia,,1.8M
81,CnX Adventurers @UCrjWoQ3vlzLrKweYk5jAl1w,6M,-,Indonesia,,1.8M
82,Super JoJo Bahasa Indonesia - Lagu Anak-anak @UC_S8TNffRECCdqdrmYlNejw,6M,-,Indonesia,,1.8M
83,The Hermansyah A6 @UChC0SS7gzZcoNJShR9Qh8Nw,5.9M,-,Indonesia,,1.8M
84,Thariq Halilintar @UC4yFyIPBcHKXplfjsEZ_t8A,5.8M,0.3%,Indonesia,,1.7M
85,Jurnal Risa @UCKFC1LYWw1fbe9LNfm2vEPg,5.7M,0.6%,Indonesia,,1.7M
86,SABYAN @UCeZA77FZSG4YzBcvBJ9eynA,5.7M,-,Indonesia,,1.7M
87,Hobby Makan @UCNYvkAHBuLfOzUBuR1Uvv9w,5.5M,0.2%,Indonesia,,1.7M
88,DENNY CAKNAN @UC0k3T5AJYvKnuc52bB7rJTA,5.5M,-,Indonesia,,1.7M
89,MARKOCOP @UC_rsMKPp_iGAXtblQ-KEXNQ,5.5M,0.2%,Indonesia,,1.7M
90,Alip_Ba_Ta @UCcHGALtfZtBRU_lzMaBm9Wg,5.5M,0.6%,Indonesia,,1.7M
91,Picky Picks @UCmlgRPrwvyHaS1jYXJifNqg,5.5M,-,Indonesia,,1.6M
92,123 GO! CHALLENGE Indonesian @UC-S7cyZCojMeVopBkH6yNEw,5.5M,-,Indonesia,,1.6M
93,123 GO! GOLD Indonesian @UCwIzd032IQjvJ9larkdcwgg,5.5M,-,Indonesia,,1.6M
94,SAM si JELI LINCAH @UC7_kZOqKOBy6t8xwJevcxjQ,5.4M,-,Indonesia,,1.6M
95,WeTV Indonesia @UCQI1M9NaNl79AktSWNOoLcA,5.3M,-,Indonesia,,1.6M
96,Vilmei @UC90xz-i20jmoZhI8RMLzzjA,5.3M,-,Indonesia,,1.6M
97,Fakta Populer @UCVB4ZivEBReX0f2rrz7JL-A,5.3M,-,Indonesia,,1.6M
98,MAQ @UClEZXxVmQTI5o-ZFT_HDXvA,5.2M,-,Indonesia,,1.6M
99,MILYHYA @UC0ohl1eKTtlJNqbD-HWRQVg,5.2M,-,Indonesia,,1.6M
100,Korea Reomit @UCXkRFUruW9lg4hEBILMVkPQ,5.2M,0.1%,Indonesia,,1.5M
